Material,U_min,U_max,R_min,R_max,TM_min,TM_max,A_min,A_max
Bamboo,0.17,0.26,3.8,5.9,450,600,0.6,0.75
Rammed Earth,1.1,2.3,0.43,0.91,1400,1800,0.65,0.85
Recycled Steel,45,55,0.018,0.022,100,150,0.2,0.35
Compressed Earth Blocks,0.8,1.5,0.67,1.25,1300,1700,0.7,0.85
Baked Brick,1.1,1.8,0.56,0.91,1300,1800,0.7,0.9
Laterite Stone,1.4,2,0.5,0.71,1500,2000,0.65,0.8
Cement Block,1.1,1.5,0.67,0.91,1000,1500,0.7,0.85
Interlock Mud Block,0.8,1.2,0.83,1.25,1200,1600,0.7,0.85
Interlock Cement Block,1,1.4,0.71,1,1000,1400,0.7,0.85
Terracotta Hollow Brick,0.6,1.2,0.83,1.67,900,1300,0.6,0.8
Adobe,0.6,1.1,0.91,1.67,1400,1800,0.7,0.9
Hempcrete,0.09,0.12,8.3,11.1,500,800,0.6,0.75
Recycled Concrete,1.4,1.8,0.56,0.71,1300,1800,0.6,0.8
Ferrock,1.2,1.7,0.59,0.83,1200,1600,0.65,0.85
Recycled Glass Blocks,0.5,1,1,2,600,900,0.5,0.7
Stone,2.5,3.5,0.29,0.4,2000,2800,0.6,0.8
Reclaimed Bricks,1,1.6,0.63,1,1200,1700,0.65,0.85
Terracotta,0.8,1.3,0.77,1.25,1100,1500,0.7,0.9
Recycled Aluminum,180,230,0.004,0.006,100,150,0.2,0.4
Biochar Concrete,0.7,1.3,0.77,1.43,1200,1700,0.6,0.8
CLT (Cross-Laminated Timber),0.13,0.17,5.9,7.7,800,1200,0.5,0.7
Recycled Rubber Bricks,0.2,0.4,2.5,5,500,800,0.6,0.75
Glass Fiber Reinforced Concrete,1,1.6,0.63,1,1100,1600,0.6,0.8
Engineered Timber,0.14,0.22,4.5,7.1,900,1300,0.5,0.7
